iter	Passed	Remaining
0	0	70
1	1	63
2	1	60
3	2	55
4	2	54
5	3	54
6	4	54
7	4	54
8	5	53
9	5	52
10	6	52
11	7	51
12	7	50
13	8	49
14	8	49
15	9	48
16	10	49
17	10	48
18	11	48
19	11	47
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	43
26	15	43
27	16	42
28	17	42
29	17	41
30	18	41
31	18	40
32	19	39
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	33
44	26	32
45	27	31
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	32	27
54	32	26
55	33	25
56	33	25
57	34	24
58	35	24
59	35	23
60	36	23
61	36	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	60	0
